epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7856,1.52528,1.93317,0.23453,1.01929,1.55156,0.99495,1,0.995,0.55167,0.99495,1,0.995,0.68835,1.55718,1.61065,0.12432,0.86039,1.53194,0.0002,0.0002,0.0002
2,18.067,1.40057,2.42098,0.2675,0.97177,1.42742,0.99601,1,0.995,0.64111,1,0.93783,0.945,0.50534,1.31455,1.78449,0.18851,1.16411,1.46309,0.000415842,0.000415842,0.000415842
3,23.1524,1.46736,2.42579,0.24572,0.93202,1.45665,0.99664,1,0.995,0.68265,0.97109,0.94444,0.945,0.56126,1.2301,1.87944,0.16675,1.15655,1.41439,0.000627328,0.000627328,0.000627328
4,28.1376,1.33247,2.81969,0.25167,0.96526,1.39661,0.94201,1,0.99237,0.41372,0.70064,0.66667,0.47669,0.19882,1.95797,2.89454,0.15405,1.91849,2.37683,0.000834458,0.000834458,0.000834458
5,33.3534,1.48982,3.27487,0.2756,1.0101,1.52435,0.88554,0.86039,0.92385,0.472,0.52988,0.501,0.53403,0.1059,1.76051,4.36367,0.28254,1.51187,2.0464,0.00103723,0.00103723,0.00103723
6,38.5908,1.48145,3.83782,0.31592,1.2047,1.48985,0.94312,0.92187,0.94551,0.55622,0.88663,0.86967,0.89629,0.40278,1.66294,3.29294,0.13165,1.60165,1.79808,0.00123565,0.00123565,0.00123565
7,43.9012,1.34998,3.446,0.28765,0.97372,1.36799,0.76414,0.77778,0.72622,0.23648,0.37705,0.38889,0.23043,0.06727,2.45389,4.86284,0.16917,4.76603,2.40149,0.00142971,0.00142971,0.00142971
8,49.0437,1.39107,3.5963,0.34834,1.0375,1.43108,0.78978,0.88889,0.85649,0.31402,0.54391,0.61111,0.42284,0.11219,2.04428,4.10966,0.17342,8.26181,2.01818,0.00161942,0.00161942,0.00161942
9,54.101,1.5135,4.16304,0.35919,1.14573,1.46737,0.67524,0.83333,0.74736,0.34082,0.31362,0.44444,0.21326,0.04902,1.96271,4.73526,0.19361,4.28703,1.92729,0.00180477,0.00180477,0.00180477
10,59.01,1.55027,3.55136,0.27114,1.22238,1.53249,0.60144,0.61111,0.58583,0.14724,0.52698,0.44444,0.30736,0.10415,2.14527,4.35154,0.24397,3.74072,2.13883,0.0018218,0.0018218,0.0018218
